name,code,id
ABSL Global Excellence Equity FoF - Retail - Direct - Growth,132009,global_7
Aditya Birla Sun Life Balanced Advantage Fund - Growth Direct,131670,hybrid_5
Aditya Birla Sun Life Flexi Cap Fund - Growth-Regular,103166,flexi_4
Axis India Manufacturing Fund Regular Growth,152205,flexi_4
Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth,152177,flexi_4
Edelweiss Europe Dynamic Equity Offshore Fund - Growth Option - Direct Plan,140296,global_7
Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth,149254,large_3
HDFC Balanced Advantage Fund - Direct Plan - Growth Option,118968,hybrid_5
HDFC Flexi Cap Fund - Direct Plan - Growth Option,118955,flexi_4
HDFC Hybrid Debt Fund - Direct Plan - Growth Option,119118,hybrid_5
HDFC Index FundNIFTY 50 Plan - Direct Plan,119063,large_3
HDFC NIFTY Next50 Index Fund Direct Growth,149288,large_3
HDFC Small Cap Fund - Growth Option - Direct Plan,130503,small_1
HSBC corporate bond,150996,hedge_6
ICICI Prudential Balanced Advantage Fund - Direct Plan - Growth,120377,hybrid_5
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,120722,flexi_4
ICICI Prudential Gold ETF FOF - Direct Plan - Growth,120685,hedge_6
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,120334,hedge_6
ICICI Prudential Nifty50 Value20 Index Fund - Direct Plan-Growth,152365,large_3
ICICI Prudential Smallcap Fund - Direct Plan - Growth,120591,small_1
ICICI Prudential US Bluechip Equity Fund - Direct Plan - Growth,120186,global_7
JM Aggressive Hybrid Fund - (Regular) - Growth Option,100221,hybrid_5
JM Midcap Fund (Regular) - Growth Option,150815,mid_2
JM Small Cap Fund - (Regular) - Growth Option,152612,small_1
Kotak Debt Hybrid Fund - Direct Plan - Growth,120154,hybrid_5
Kotak Global Emerging Market overseas Equity Omni FOF - Growth - Direct,119779,global_7
Kotak large cap Fund - Direct Plan - Growth,120152,large_3
Kotak midcap Fund- Direct Plan - Growth,119775,mid_2
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth,152916,mid_2
Kotak Small Cap Fund - Direct Plan - Growth,120164,small_1
Mahindra Manulife Mid Cap Fund - Direct - Growth,142110,mid_2
Mahindra Manulife Multi Cap Fund - Regular - Growth,141224,flexi_4
Mirae mfg ETF,149790,flexi_4
Motilal Oswal Midcap Fund-Direct Plan-Growth,127042,mid_2
NIPPON INDIA - US EQUITY OPPORTUNITIES FUND - DIRECT GROWTH PLAN,134923,global_7
NIPPON INDIA BALANCED ADVANTAGE FUND - DIRECT PLAN GROWTH PLAN - GROWTH OPTION,118736,hybrid_5
NIPPON INDIA FLEXI CAP FUND - GROWTH PLAN,149094,flexi_4
NIPPON INDIA RETIREMENT FUND - WEALTH CREATION SCHEME - GROWTH PLAN,133565,flexi_4
Parag Parikh Flexi Cap Fund - Direct Plan,122639,flexi_4
Quant active,120823,flexi_4
Quant infra,106170,flexi_4
Quant small,100177,small_1
SBI Blue Chip Fund - Direct Plan - Growth,119598,large_3
SBI Focused Equity Fund Direct Growth,119727,flexi_4
SUNDARAM FINANCIAL SERVICES OPPORTUNITIES FUND - REGULAR GROWTH,109059,flexi_4
Union Innovation and Opportunities Fund - Regular Growth,151903,flexi_4
UTI Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth,150313,mid_2